,New,N. Sum,Deaths,D. Sum
		148,2500,267061,198,13608
		149,2379,269440,183,13791
		150,2166,271606,188,13979
		151,2182,273788,209,14188
		152,2414,276202,217,14405
		153,2625,278827,229,14634
		154,2586,281413,219,14853
		155,2621,284034,221,15074
		156,2489,286523,215,15289
		157,2316,288839,195,15484
		158,2333,291172,216,15700
		159,2434,293606,212,15912
		160,2667,296273,235,16147
		161,2636,298909,196,16343
		162,2621,301530,226,16569
		163,2674,304204,197,16766
		164,2548,306752,216,16982
		165,2685,309437,208,17190
		166,2598,312035,215,17405
		167,2751,314786,212,17617
		168,2697,317483,185,17802
		169,2634,320117,174,17976
		170,2450,322567,156,18132
		171,2125,324692,132,18264
		172,2020,326712,163,18427
		173,2132,328844,189,18616
		174,2345,331189,184,18800
		175,2510,333699,188,18988
		176,2625,336324,174,19162
		177,2501,338825,169,19331
		178,2245,341070,161,19492
		179,2133,343203,147,19639
		180,2247,345450,165,19804
		181,2385,347835,168,19972
		182,2444,350279,153,20125
		183,2279,352558,139,20264
		184,2206,354764,112,20376
		185,2028,356792,126,20502
		186,2113,358905,141,20643
		187,2245,361150,133,20776
		188,2213,363363,125,20901
		189,2243,365606,119,21020
		190,2190,367796,117,21137
		191,2115,369911,112,21249
		192,1905,371816,110,21359
		193,1754,373570,103,21462
		194,1642,375212,109,21571
		195,1682,376894,101,21672
		196,1858,378752,125,21797
		197,1994,380746,129,21926
		198,2026,382772,118,22044
		199,1894,384666,110,22154
		200,1992,386658,139,22293
		201,2152,388810,117,22410
		202,2302,391112,132,22542
		203,2313,393425,127,22669
		204,2063,395488,129,22798
		205,2313,397801,115,22913
		206,2139,399940,116,23029
		207,2089,402029,128,23157
		208,2619,404648,156,23313
		209,2705,407353,140,23453
		210,2981,410334,179,23632
		211,2815,413149,176,23808
		212,3049,416198,144,23952
		213,2845,419043,166,24118
		214,3097,422140,183,24301
		215,3341,425481,177,24478
		216,3712,429193,178,24656
		217,3605,432798,184,24840
		218,3521,436319,175,25015
		219,3563,439882,207,25222
		220,3204,443086,172,25394
		221,3362,446448,195,25589
		222,3512,449960,190,25779
		223,3677,453637,207,25986
		224,3582,457219,183,26169
		225,3825,461044,211,26380
		226,3552,464596,187,26567
